"funcao","kind","language","return_type","complexidade"
"crm.api_atcdocumentonovo_v2(a_objeto crm.tatcdocumentonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcdocumentonovo_v3(a_objeto crm.tatcdocumentonovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcdocumentonovo_v4(a_objeto crm.tatcdocumentonovo_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcdocumentopreanalise_v2(a_objeto crm.tatcdocumentopreanalise_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcdocumentorecebedocumento(a_objeto crm.tatcdocumentorecebedocumento)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcfollowupanexoexcluir(a_objeto crm.tatcfollowupanexoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcfollowupanexonovo(a_objeto crm.tatcfollowupanexonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcnovo_v6(a_objeto crm.tatcnovo_v6)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcnovo_v7(a_objeto crm.tatcnovo_v7)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcnovo_v8(a_objeto crm.tatcnovo_v8)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcnovo_v9(a_objeto crm.tatcnovo_v9)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaalterar_v2(a_objeto crm.tatcpendenciaalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaalterar_v3(a_objeto crm.tatcpendenciaalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaalterar_v4(a_objeto crm.tatcpendenciaalterar_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaalterar_v5(a_objeto crm.tatcpendenciaalterar_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaexcluir(a_objeto crm.tatcpendenciaexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciaexcluir_v2(a_objeto crm.tatcpendenciaexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistaalterar_v2(a_objeto crm.tatcpendencialistaalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistaalterar_v3(a_objeto crm.tatcpendencialistaalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistaexcluir_v2(a_objeto crm.tatcpendencialistaexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistaexcluir_v3(a_objeto crm.tatcpendencialistaexcluir_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistanovo_v2(a_objeto crm.tatcpendencialistanovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencialistanovo_v3(a_objeto crm.tatcpendencialistanovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencianaorealizada(a_objeto crm.tatcpendencianaorealizada)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencianaorealizada_v2(a_objeto crm.tatcpendencianaorealizada_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencianovo_v3(a_objeto crm.tatcpendencianovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencianovo_v4(a_objeto crm.tatcpendencianovo_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendencianovo_v5(a_objeto crm.tatcpendencianovo_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciarealizada_v2(a_objeto crm.tatcpendenciarealizada_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcpendenciarealizada_v3(a_objeto crm.tatcpendenciarealizada_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcscontasapagaralterar(a_objeto crm.tatcscontasapagaralterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcscontasapagaralterar_v2(a_objeto crm.tatcscontasapagaralterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcscontasapagarexcluir(a_objeto crm.tatcscontasapagarexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcscontasapagarnovo(a_objeto crm.tatcscontasapagarnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsdadostaxaadministrativa(a_objeto crm.tatcsdadostaxaadministrativa)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsfollowupsnovo_v2(a_objeto crm.tatcsfollowupsnovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsresponsaveisfinanceirosexcluir(a_objeto crm.tatcsresponsaveisfinanceirosexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsresponsaveisfinanceirosexcluir_v2(a_objeto crm.tatcsresponsaveisfinanceirosexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsresponsaveisfinanceirosnovo(a_objeto crm.tatcsresponsaveisfinanceirosnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcsresponsaveisfinanceirosnovo_v2(a_objeto crm.tatcsresponsaveisfinanceirosnovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcstatuscancelado_v2(a_objeto crm.tatcstatuscancelado_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcstatusematendimento(a_objeto crm.tatcstatusematendimento)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcstatusfechado(a_objeto crm.tatcstatusfechado)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcstatusfinalizado(a_objeto crm.tatcstatusfinalizado)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atcstatusnovo(a_objeto crm.tatcstatusnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atctipodocumentorequisitanteexcluir_v2(a_objeto crm.tatctipodocumentorequisitanteexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atctipodocumentorequisitantenovo_v3(a_objeto crm.tatctipodocumentorequisitantenovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atctipodocumentorequisitantenovo_v4(a_objeto crm.tatctipodocumentorequisitantenovo_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_atctipodocumentorequisitantenovo_v5(a_objeto crm.tatctipodocumentorequisitantenovo_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogoalterar(a_objeto crm.tcatalogoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogoativar(a_objeto crm.tcatalogoativar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogocapituloalterar(a_objeto crm.tcatalogocapituloalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogocapitulocomposicaoexcluir(a_objeto crm.tcatalogocapitulocomposicaoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogocapitulocomposicaonovo(a_objeto crm.tcatalogocapitulocomposicaonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogocapituloexcluir(a_objeto crm.tcatalogocapituloexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogocapitulonovo(a_objeto crm.tcatalogocapitulonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogodesativar(a_objeto crm.tcatalogodesativar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_catalogonovo(a_objeto crm.tcatalogonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaoalterar(a_objeto crm.tcomposicaoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaoalterar_v2(a_objeto crm.tcomposicaoalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaoalterar_v3(a_objeto crm.tcomposicaoalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaoalterar_v4(a_objeto crm.tcomposicaoalterar_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaofamiliaexcluir(a_objeto crm.tcomposicaofamiliaexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaofamilianovo(a_objeto crm.tcomposicaofamilianovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaofuncaoexcluir(a_objeto crm.tcomposicaofuncaoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaofuncaonovo(a_objeto crm.tcomposicaofuncaonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaonovo(a_objeto crm.tcomposicaonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaonovo_v2(a_objeto crm.tcomposicaonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaonovo_v3(a_objeto crm.tcomposicaonovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_composicaonovo_v4(a_objeto crm.tcomposicaonovo_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_configuracaotaxaadministrativaalterar(a_objeto crm.tconfiguracaotaxaadministrativaalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_configuracaotaxaadministrativaexcluir(a_objeto crm.tconfiguracaotaxaadministrativaexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_configuracaotaxaadministrativanovo(a_objeto crm.tconfiguracaotaxaadministrativanovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editacontratonoatc(a_objeto crm.teditacontratonoatc)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratoapagarnapropostaitem(a_objeto crm.teditaitemcontratoapagarnapropostaitem)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratoapagarnapropostaitemfamilia(a_objeto crm.teditaitemcontratoapagarnapropostaitemfamilia)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratoapagarnapropostaitemfamilia_v2(a_objeto crm.teditaitemcontratoapagarnapropostaitemfamilia_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratoapagarnapropostaitemfuncao(a_objeto crm.teditaitemcontratoapagarnapropostaitemfuncao)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratoapagarnapropostaitemfuncao_v2(a_objeto crm.teditaitemcontratoapagarnapropostaitemfuncao_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratonapropostaitem(a_objeto crm.teditaitemcontratonapropostaitem)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratonapropostaitemfamilia(a_objeto crm.teditaitemcontratonapropostaitemfamilia)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratonapropostaitemfamilia_v2(a_objeto crm.teditaitemcontratonapropostaitemfamilia_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratonapropostaitemfuncao(a_objeto crm.teditaitemcontratonapropostaitemfuncao)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_editaitemcontratonapropostaitemfuncao_v2(a_objeto crm.teditaitemcontratonapropostaitemfuncao_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoanexoexcluir(a_objeto crm.tfornecedorenvolvidoanexoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoanexonovo(a_objeto crm.tfornecedorenvolvidoanexonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoatualizarconfiguracaodescontos(a_objeto crm.tfornecedorenvolvidoatualizarconfiguracaodescontos)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoatualizardescontoorcamentos(a_objeto crm.tfornecedorenvolvidoatualizardescontoorcamentos)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoatualizardescontoorcamentos_v2(a_objeto crm.tfornecedorenvolvidoatualizardescontoorcamentos_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoexcluir(a_objeto crm.tfornecedorenvolvidoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoexcluir_v2(a_objeto crm.tfornecedorenvolvidoexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidoexcluir_v3(a_objeto crm.tfornecedorenvolvidoexcluir_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidonovo(a_objeto crm.tfornecedorenvolvidonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_fornecedorenvolvidonovo_v2(a_objeto crm.tfornecedorenvolvidonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicoatcnovo(a_objeto crm.thistoricoatcnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraoalterar(a_objeto crm.thistoricopadraoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraoalterar_v2(a_objeto crm.thistoricopadraoalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraoexcluir(a_objeto crm.thistoricopadraoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraoexcluir_v2(a_objeto crm.thistoricopadraoexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraonovo(a_objeto crm.thistoricopadraonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_historicopadraonovo_v2(a_objeto crm.thistoricopadraonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_itemprocessarcontapagarnovo(a_objeto crm.titemprocessarcontapagarnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezconfiguracaoalterar(a_objeto crm.tlistadavezconfiguracaoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezconfiguracaoexcluir(a_objeto crm.tlistadavezconfiguracaoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezconfiguracaonovo(a_objeto crm.tlistadavezconfiguracaonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedoralterar(a_objeto crm.tlistadavezvendedoralterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedorexcluir(a_objeto crm.tlistadavezvendedorexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedoritemalterar(a_objeto crm.tlistadavezvendedoritemalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedoritemexcluir(a_objeto crm.tlistadavezvendedoritemexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedoritemnovo(a_objeto crm.tlistadavezvendedoritemnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_listadavezvendedornovo(a_objeto crm.tlistadavezvendedornovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotealterar(a_objeto crm.tmalotealterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotealterar_v2(a_objeto crm.tmalotealterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteaprova(a_objeto crm.tmaloteaprova)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteaprova_v2(a_objeto crm.tmaloteaprova_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotecancelaenvio(a_objeto crm.tmalotecancelaenvio)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotecancelaenvio_v2(a_objeto crm.tmalotecancelaenvio_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotedocumentoexcluir(a_objeto crm.tmalotedocumentoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotedocumentoexcluir_v2(a_objeto crm.tmalotedocumentoexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotedocumentonovo(a_objeto crm.tmalotedocumentonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotedocumentonovo_v2(a_objeto crm.tmalotedocumentonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteeditarenvio(a_objeto crm.tmaloteeditarenvio)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteeditarenvio_v2(a_objeto crm.tmaloteeditarenvio_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteenviar(a_objeto crm.tmaloteenviar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_maloteenviar_v2(a_objeto crm.tmaloteenviar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotenovo(a_objeto crm.tmalotenovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_malotenovo_v2(a_objeto crm.tmalotenovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_midiaalterar(a_objeto crm.tmidiaalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_midiaalterar_v2(a_objeto crm.tmidiaalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_midianovo(a_objeto crm.tmidianovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_midianovo_v2(a_objeto crm.tmidianovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocioalterar(a_objeto crm.tnegocioalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocioalterar_v2(a_objeto crm.tnegocioalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocioalterar_v3(a_objeto crm.tnegocioalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociocontatoalterar(a_objeto crm.tnegociocontatoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociocontatoexcluir(a_objeto crm.tnegociocontatoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociocontatonovo(a_objeto crm.tnegociocontatonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocioexcluir(a_objeto crm.tnegocioexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocionovo(a_objeto crm.tnegocionovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negocionovo_v2(a_objeto crm.tnegocionovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociopropostavendedorexcluir(a_objeto crm.tnegociopropostavendedorexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociopropostavendedorexcluir_v2(a_objeto crm.tnegociopropostavendedorexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociopropostavendedornovo(a_objeto crm.tnegociopropostavendedornovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_negociopropostavendedornovo_v2(a_objeto crm.tnegociopropostavendedornovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar(a_objeto crm.torcamentoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v2(a_objeto crm.torcamentoalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v3(a_objeto crm.torcamentoalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v4(a_objeto crm.torcamentoalterar_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v5(a_objeto crm.torcamentoalterar_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v6(a_objeto crm.torcamentoalterar_v6)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v7(a_objeto crm.torcamentoalterar_v7)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v8(a_objeto crm.torcamentoalterar_v8)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoalterar_v9(a_objeto crm.torcamentoalterar_v9)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoaprovar(a_objeto crm.torcamentoaprovar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoaprovar_v2(a_objeto crm.torcamentoaprovar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoenviar(a_objeto crm.torcamentoenviar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoenviar_v2(a_objeto crm.torcamentoenviar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoexcluir(a_objeto crm.torcamentoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoexcluir_v2(a_objeto crm.torcamentoexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoexcluir_v3(a_objeto crm.torcamentoexcluir_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo(a_objeto crm.torcamentonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v2(a_objeto crm.torcamentonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v3(a_objeto crm.torcamentonovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v4(a_objeto crm.torcamentonovo_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v5(a_objeto crm.torcamentonovo_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v6(a_objeto crm.torcamentonovo_v6)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentonovo_v7(a_objeto crm.torcamentonovo_v7)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoreabrir(a_objeto crm.torcamentoreabrir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentorenegociar(a_objeto crm.torcamentorenegociar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentorenegociar_v2(a_objeto crm.torcamentorenegociar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoreprovar(a_objeto crm.torcamentoreprovar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_orcamentoreprovar_v2(a_objeto crm.torcamentoreprovar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_prenegociodesqualificar(a_objeto crm.tprenegociodesqualificar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_prenegocioqualificar(a_objeto crm.tprenegocioqualificar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_prenegocioqualificar_v2(a_objeto crm.tprenegocioqualificar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_promocaoleadalterar(a_objeto crm.tpromocaoleadalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_promocaoleadexcluir(a_objeto crm.tpromocaoleadexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_promocaoleadnovo(a_objeto crm.tpromocaoleadnovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaalterar(a_objeto crm.tpropostaalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaalterar_v2(a_objeto crm.tpropostaalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapituloalterar(a_objeto crm.tpropostacapituloalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapituloalterar_v2(a_objeto crm.tpropostacapituloalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapituloexcluir(a_objeto crm.tpropostacapituloexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapituloexcluir_v2(a_objeto crm.tpropostacapituloexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapitulonovo(a_objeto crm.tpropostacapitulonovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapitulonovo_v2(a_objeto crm.tpropostacapitulonovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostacapitulonovo_v3(a_objeto crm.tpropostacapitulonovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar(a_objeto crm.tpropostaitemalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar_v2(a_objeto crm.tpropostaitemalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar_v3(a_objeto crm.tpropostaitemalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar_v4(a_objeto crm.tpropostaitemalterar_v4)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar_v5(a_objeto crm.tpropostaitemalterar_v5)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemalterar_v6(a_objeto crm.tpropostaitemalterar_v6)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemenderecoalterar(a_objeto crm.tpropostaitemenderecoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemenderecoalterar_v2(a_objeto crm.tpropostaitemenderecoalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemenderecoalterar_v3(a_objeto crm.tpropostaitemenderecoalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemenderecoexcluir(a_objeto crm.tpropostaitemenderecoexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemenderecoexcluir_v2(a_objeto crm.tpropostaitemenderecoexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemendereconovo(a_objeto crm.tpropostaitemendereconovo)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemendereconovo_v2(a_objeto crm.tpropostaitemendereconovo_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemendereconovo_v3(a_objeto crm.tpropostaitemendereconovo_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemexcluir(a_objeto crm.tpropostaitemexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemexcluir_v2(a_objeto crm.tpropostaitemexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaalterar(a_objeto crm.tpropostaitemfamiliaalterar)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaalterar_v2(a_objeto crm.tpropostaitemfamiliaalterar_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaalterar_v3(a_objeto crm.tpropostaitemfamiliaalterar_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaexcluir(a_objeto crm.tpropostaitemfamiliaexcluir)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaexcluir_v2(a_objeto crm.tpropostaitemfamiliaexcluir_v2)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfamiliaexcluir_v3(a_objeto crm.tpropostaitemfamiliaexcluir_v3)","FUNCTION","plpgsql","trecibo","Baixa"
"crm.api_propostaitemfuncaoalterar(a_objeto crm.tpropostaitemfuncaoalterar)","FUNCTION","plpgsql","trecibo","Baixa"
