"funcao","kind","language","return_type","complexidade"
"financas.valor_por_extenso(valor numeric, moedasingular text DEFAULT 'real'::text, moedaplural text DEFAULT 'reais'::text, moedafracaosingular text DEFAULT 'centavo'::text, moedafracaoplural text DEFAULT 'centavos'::text)","FUNCTION","plpgsql","text","Media"
"gp.api_atividadescategorias_relatedto(a_objeto gp.tatividadescategorias_relatedto)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_atividadescategorias_relatedto_v2(a_objeto gp.tatividadescategorias_relatedto_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosexcluir(a_objeto gp.tcustosexcluir)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosexcluir_v2(a_objeto gp.tcustosexcluir_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosnovo(a_objeto gp.tcustosnovo)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosnovo_v2(a_objeto gp.tcustosnovo_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosnovo_v3(a_objeto gp.tcustosnovo_v3)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosvaloresalterar(a_objeto gp.tcustosvaloresalterar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosvaloresalterar_v2(a_objeto gp.tcustosvaloresalterar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosvaloresalterar_v3(a_objeto gp.tcustosvaloresalterar_v3)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosvaloresnovo(a_objeto gp.tcustosvaloresnovo)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_custosvaloresnovo_v2(a_objeto gp.tcustosvaloresnovo_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_df_pagamentosnovo(a_objeto gp.tdf_pagamentosnovo)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosalertasexcluir(a_objeto gp.tprojetosalertasexcluir)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosalertasexcluir_v2(a_objeto gp.tprojetosalertasexcluir_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosalocacaoexcluir(a_objeto gp.tprojetosalocacaoexcluir)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosalocacaoexcluir_v2(a_objeto gp.tprojetosalocacaoexcluir_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetoscancelar(a_objeto gp.tprojetoscancelar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetoscancelar_v2(a_objeto gp.tprojetoscancelar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetoscancelar_v3(a_objeto gp.tprojetoscancelar_v3)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetoscontinuar(a_objeto gp.tprojetoscontinuar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetoscontinuar_v2(a_objeto gp.tprojetoscontinuar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosdesprocessar(a_objeto gp.tprojetosdesprocessar)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosdesprocessar_v2(a_objeto gp.tprojetosdesprocessar_v2)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosescopoexcluir(a_objeto gp.tprojetosescopoexcluir, a_excluirfilhos boolean DEFAULT false)","FUNCTION","plpgsql","trecibo","Media"
"gp.api_projetosescopoexcluir_v2(a_objeto gp.tprojetosescopoexcluir_v2, a_excluirfilhos boolean DEFAULT false)","FUNCTION","plpgsql","trecibo","Media"
