"view_name","kind","column_count","complexidade"
"gp.vw_projetos_","VIEW",62,"Alta"
"gp.vw_projetos_v2","VIEW",63,"Alta"
"gp.vw_projetos_v3","VIEW",63,"Alta"
"gp.vw_projetos_v4","VIEW",63,"Alta"
"gp.vw_projetos_v5","VIEW",66,"Alta"
"gp.vw_projetosalocacao","VIEW",13,"Baixa"
"gp.vw_projetosalocacao_v2","VIEW",13,"Baixa"
"gp.vw_projetosalocacaousuarios","VIEW",12,"Baixa"
"gp.vw_projetosalocacaousuarios_v2","VIEW",12,"Baixa"
"gp.vw_projetosdosusuarios","VIEW",12,"Alta"
"gp.vw_projetosdosusuarios_","VIEW",12,"Alta"
"gp.vw_projetosdosusuarios_v2","VIEW",14,"Alta"
"gp.vw_projetosdosusuarios_v3","VIEW",14,"Alta"
"gp.vw_projetosescopo","VIEW",62,"Alta"
"gp.vw_projetosescopo_v2","VIEW",62,"Alta"
"gp.vw_projetosescopo_v3","VIEW",53,"Alta"
"gp.vw_projetosnotasfiscais","VIEW",13,"Media"
"gp.vw_projetosnotasfiscaisitens","VIEW",15,"Media"
"gp.vw_projetosregistroexecucao","VIEW",26,"Alta"
"gp.vw_projetosregistroexecucao_v2","VIEW",26,"Alta"
"gp.vw_projetossolicitacoesprodutosservicos","VIEW",19,"Media"
"gp.vw_projetossolicitacoesprodutosservicos_v2","VIEW",19,"Media"
"gp.vw_relatorioapontamento","VIEW",12,"Alta"
"gp.vw_relatorioapontamento_v2","VIEW",12,"Alta"
"gp.vw_relatorioapontamento_v3","VIEW",12,"Alta"
"gp.vw_relatorioprodutividademes","VIEW",9,"Media"
"gp.vw_roots","VIEW",5,"Alta"
"gp.vw_roteiros","VIEW",18,"Media"
"gp.vw_roteiros_v2","VIEW",18,"Media"
"gp.vw_roteirosescopo","VIEW",22,"Media"
"gp.vw_roteirosescopo_v2","VIEW",22,"Media"
"gp.vw_tarefas","VIEW",76,"Alta"
"gp.vw_tarefas_v2","VIEW",75,"Alta"
"gp.vw_tarefas_v3","VIEW",76,"Alta"
"gp.vw_tarefas_v4","VIEW",78,"Alta"
"gp.vw_tarefas_v5","VIEW",80,"Alta"
"gp.vw_tarefas_v6","VIEW",81,"Alta"
"gp.vw_tarefasdependencias","VIEW",10,"Alta"
"gp.vw_tarefasdependencias_v2","VIEW",10,"Alta"
"gp.vw_tarefasdosusuarios","VIEW",23,"Alta"
"gp.vw_tarefasdosusuarios_v2","VIEW",23,"Alta"
"gp.vw_tarefasordensservicos","VIEW",77,"Alta"
"gp.vw_tarefaspausas","VIEW",15,"Media"
"gp.vw_tarefaspausas_v2","VIEW",15,"Media"
"gp.vw_tarefasregistroexecucao","VIEW",34,"Alta"
"gp.vw_tarefasregistroexecucao_v2","VIEW",34,"Alta"
"gp.vw_tiposhoras","VIEW",11,"Media"
"gp.vw_tiposhoras_v2","VIEW",11,"Media"
"gp.vw_tiposprojetostiposhoras","VIEW",9,"Media"
"gp.vw_tiposprojetostiposhoras_v2","VIEW",9,"Media"
"gp.vw_totalimprodutivas","VIEW",2,"Alta"
"gp.vw_totalprodutivas","VIEW",2,"Alta"
"gp.vw_totalrealizado","VIEW",3,"Alta"
"gp.vw_totalrealizadoprojeto","VIEW",2,"Alta"
"gp.vw_totaltarefasiniciadas","VIEW",2,"Alta"
"gp.vw_totaltarefasregistroexecucao","VIEW",2,"Alta"
